Year,Make,Model,Price,Mileage,VIN,Market Value (Private),Market Value (Dealer),Instant Equity,Verdict,Score,Issues Count,Payback Weeks,Insurance/mo,Rideshare Net/mo,Rideshare Class,Maint & Fees/mo,Upfront Cost,5-Year Profit,Seller Condition Notes,Source Listing URL,VAP Deep Link,Lemon Notes
2024,"Ford","Maverick",2500,15901,N/A,19700,24600,17200,"✅ RECOMMENDED",70,3,4,72,NaN,"Uber Comfort",NaN,,17200,"Silver","https://www.facebook.com/marketplace/item/1254278460194229/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2235596787323299808%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A35596787323299808%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A0%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0049595229037918%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2235596787323299808%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%227um7cb%22%2C%22year%22%3A2024%2C%22make%22%3A%22Ford%22%2C%22model%22%3A%22Maverick%22%2C%22price%22%3A2500%2C%22mileage%22%3A15901%2C%22description%22%3A%22Vehicle%20Details%3A%5Cn-%20Year%3A%202024%5Cn-%20Make%2FModel%3A%20Ford%20Maverick%20XLT%20SuperCrew%5Cn-%20Mileage%3A%2015%2C01%5Cn-%20Clean%20titl...%20See%20more%22%7D",""
2006,"Honda","vtx",2500,28000,N/A,5900,7400,3400,"⚠️ PROCEED WITH CAUTION",45,5,4,83,NaN,"UberX",NaN,,3400,"Orange","https://www.facebook.com/marketplace/item/1071565589377092/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2235354975080767436%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A35354975080767436%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0073116331538731%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2235354975080767436%5C%22%3A302%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%22jsnfg%22%2C%22year%22%3A2006%2C%22make%22%3A%22Honda%22%2C%22model%22%3A%22vtx%22%2C%22price%22%3A2500%2C%22mileage%22%3A28000%2C%22description%22%3A%22Nice%20running%20bike%20fun%20and%20comfortable%20bike.%201300%20VTX%20previous%20owner%20did%20drop%20vary%20minor%20damage%20any%20q...%20See%20more%22%7D","null"
2015,"Honda","Odyssey",2800,174000,N/A,5600,7000,2800,"✅ RECOMMENDED",70,4,5,83,NaN,"UberX",NaN,,2800,"Silver","https://www.facebook.com/marketplace/item/26800575666220887/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2227142658461993112%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A27142658461993112%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A10%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0056449376159377%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2227142658461993112%5C%22%3A302%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%22oog24p%22%2C%22year%22%3A2015%2C%22make%22%3A%22Honda%22%2C%22model%22%3A%22Odyssey%22%2C%22price%22%3A2800%2C%22mileage%22%3A174000%2C%22description%22%3A%22I%20have%20this%202015%20honda%20odyssey%20that%20runs%20and%20drives%20has%20good%20tires%20A%2FC%20and%20HEATER%20works%20great%20everyt...%20See%20more%22%7D",""
2008,"Toyota","Corolla",3800,22000,N/A,7100,8900,3300,"⚠️ PROCEED WITH CAUTION",45,5,6,83,NaN,"UberX",NaN,,3300,"Blue","https://www.facebook.com/marketplace/item/903660616054389/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2235435450439386607%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A35435450439386607%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A11%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0067397848507963%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2235435450439386607%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%22jchm8e%22%2C%22year%22%3A2008%2C%22make%22%3A%22Toyota%22%2C%22model%22%3A%22Corolla%22%2C%22price%22%3A3800%2C%22mileage%22%3A22000%2C%22description%22%3A%22Titulo%20limpio%20todo%20esta%20en%20buenas%20condiciones%20rines%20pintura%20amortiguador%20tren%20delantero%20luces%20led%20to...%20See%20more%22%7D",""
2006,"Chevrolet","Suburban",2000,214000,N/A,6400,8000,4400,"⚠️ PROCEED WITH CAUTION",45,5,4,83,NaN,"UberX",NaN,,4400,"White","https://www.facebook.com/marketplace/item/984002997382811/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2227134458146160888%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A27134458146160888%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A13%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0054305114768949%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2227134458146160888%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%226iu15o%22%2C%22year%22%3A2006%2C%22make%22%3A%22Chevrolet%22%2C%22model%22%3A%22Suburban%22%2C%22price%22%3A2000%2C%22mileage%22%3A214000%2C%22description%22%3A%22Runs%20drives%5CnStability%20problem%5CnOne%20code%20for%20oxygen%20sensor%5Cn6in%20rough%20country%20lift%20kit%5CnOnly%20has%202fr...%20See%20more%22%7D",""
2007,"KTM","50cc",1200,1111,N/A,6300,7800,5100,"⚠️ PROCEED WITH CAUTION",45,5,2,83,NaN,"UberX",NaN,,5100,"Black","https://www.facebook.com/marketplace/item/1273691724889335/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2234867617066218237%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A34867617066218237%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A16%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0075394764656498%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2234867617066218237%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%22mxfsj%22%2C%22year%22%3A2007%2C%22make%22%3A%22KTM%22%2C%22model%22%3A%2250cc%22%2C%22price%22%3A1200%2C%22mileage%22%3A1111%2C%22description%22%3A%22Runs%20and%20drives%20good...2stroke..automatic%5Cn2007%20KTM%2050sx%20racing%20dirtbike%22%7D",""
2006,"Yamaha","yz 250cc",2000,100000,N/A,5900,7400,3900,"✅ RECOMMENDED",70,4,4,83,NaN,"UberX",NaN,,3900,"Blue","https://www.facebook.com/marketplace/item/2067261971338726/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7057069282890648551%22%2C%22mf_story_key%22%3A%2226130280223335152%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26130280223335152%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A17%2C%5C%22ranking_signature%5C%22%3A4323605359766607873%2C%5C%22ranking_request_id%5C%22%3A2742720383486736725%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0076314558524599%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226130280223335152%5C%22%3A302%7D%7D%22%7D&__tn__=!%3AD","https://vehicle-analyzer.vercel.app/?car=%7B%22id%22%3A%22w8u59%22%2C%22year%22%3A2006%2C%22make%22%3A%22Yamaha%22%2C%22model%22%3A%22yz%20250cc%22%2C%22price%22%3A2000%2C%22mileage%22%3A100000%2C%22description%22%3A%22I%20don't%20need%20it%20anymore.%20It%20has%20no%20problem.%20It's%20ready%20to%20ride.%20I%20changed%20the%20oil%20and%20the%20filter.%20An...%22%7D",""
